unit_code,vaps_code,division,Unit_Activations,Vaps_Associated_With_Unit,Vaps_Attach_Rate,UNIT_PRODUCTNAME_SF,UNIT_DESCRIPTION,UNIT_DETAILEDDESCRIPTION,UNIT_L1_PURPOSE,UNIT_L2_CORE_SOLUTION,UNIT_L3_PRODUCTS,VAPS_DESCRIPTION,VAPS_L1_PURPOSE,VAPS_L2__CORE_NEED,VAPS_L2_PRODUCTS,VAPS_CUSTOMIZATION_COMPLEMENTARY_ALTERNATIVES,VAPS_MAIN_GROUP,VAPS_DETAILED_GROUP,VAPS_PACKAGE_TIER,VAPS_SOURCE
10W,WS5025,South Division,691,4,0.58,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Stackable Side Chair w/ Arms,,,,,Furniture,,,VAPS - A La Carte
10W,WS5025,West Division,839,13,1.55,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Stackable Side Chair w/ Arms,,,,,Furniture,,,VAPS - A La Carte
10W,WS5026,Canada Division,75,7,9.33,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Manager Chair,,,,,Furniture,,,VAPS - A La Carte
10W,WS5026,Central Division,621,33,5.31,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Manager Chair,,,,,Furniture,,,VAPS - A La Carte
10W,WS5026,Northeast Division,261,14,5.36,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Manager Chair,,,,,Furniture,,,VAPS - A La Carte
10W,WS5026,South Division,691,21,3.04,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Manager Chair,,,,,Furniture,,,VAPS - A La Carte
10W,WS5026,West Division,839,12,1.43,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Manager Chair,,,,,Furniture,,,VAPS - A La Carte
10W,WS5027,Northeast Division,261,1,0.38,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Executive Chair,,,,,Furniture,,,VAPS - A La Carte
10W,WS5027,South Division,691,1,0.14,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Executive Chair,,,,,Furniture,,,VAPS - A La Carte
10W,WS5027,West Division,839,1,0.12,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Executive Chair,,,,,Furniture,,,VAPS - A La Carte
10W,WS5028,Central Division,621,2,0.32,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,L-Desk,,,,,Furniture,,,VAPS - A La Carte
10W,WS5030,Northeast Division,261,1,0.38,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Lg. Bookcase - 4 Shelf,,,,,Furniture,,,VAPS - A La Carte
10W,WS5030,West Division,839,1,0.12,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Lg. Bookcase - 4 Shelf,,,,,Furniture,,,VAPS - A La Carte
10W,WS5036,West Division,839,1,0.12,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Cork Board,,,,,Accessories,,,VAPS - A La Carte
10W,WS5040,Northeast Division,261,2,0.77,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Full-Sized Refrigerator,,,,,Appliances,,,VAPS - A La Carte
10W,WS5041,Central Division,621,10,1.61,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Mini Refrigerator,,,,,Appliances,,,VAPS - A La Carte
10W,WS5041,Northeast Division,261,1,0.38,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Mini Refrigerator,,,,,Appliances,,,VAPS - A La Carte
10W,WS5041,South Division,691,8,1.16,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Mini Refrigerator,,,,,Appliances,,,VAPS - A La Carte
